path,blob_sha,lot_proprietaire,methodes,analyses_applicables,raison_exclusion
.claude/agents/composer-tui.md,7fa3d8b3438cebe87db1ddde719acb09325a4114,L15,LECTURE,reconciliation-affirmations,
.claude/agents/deepseek-juge.md,92e80ed924098e8eba397a3c58e015ee570784ce,L15,LECTURE,reconciliation-affirmations,
.claude/agents/gemini-reviewer.md,332e3ef6477d4d784e7eedcf246be5712b2ae81e,L15,LECTURE,reconciliation-affirmations,
.claude/agents/glm-architecte.md,1b1d7aaacd007d277c3f0ff4a687c7ff7b72db2c,L15,LECTURE,reconciliation-affirmations,
.claude/agents/grok-tests.md,300f38158700a8bcfe4916607ae666a18e20320a,L15,LECTURE,reconciliation-affirmations,
.claude/agents/kimi-codeur-long.md,bfb7487123d4cdd8c5c567943b5b656abd7601cf,L15,LECTURE,reconciliation-affirmations,
.claude/agents/longcat-securite.md,8ddeee8cf49f540839f3287baeee4d40d7905475,L15,LECTURE,reconciliation-affirmations,
.claude/agents/mimo-synthese.md,9022af2b18a73bc081a630f4d32ed5d85dd7aaac,L15,LECTURE,reconciliation-affirmations,
.claude/agents/qwen-catalogue.md,89654664995c77beaebeae0539b64af664603f28,L15,LECTURE,reconciliation-affirmations,
.coderabbit.yaml,1aa358d44df6d1b503600294218f104e34cff217,L18,SCAN,yamllint,
.cursor/rules/forgeai-orchestration.mdc,99e48f3f3b55dcd8deb91aa8780d21355d936d30,L15,LECTURE,reconciliation-affirmations,
.gitguardian.yaml,49f6fbc56312a2ed962a3cbfd6ae7584a2f8ab0b,L18,SCAN,yamllint,
.github/CODEOWNERS,b4123ad5d011c7572b8dde8da5be36e0123f42e8,L03,SCAN|LECTURE,actionlint|zizmor|matrice-gates,
.github/workflows/gates.yml,c3e3874d10789c425cdc5d824769cf25d5109ef8,L03,SCAN|LECTURE,actionlint|zizmor|matrice-gates,
.github/workflows/scope-guard.yml,60120a5878a778ab116f0603c0128a8e1c0f6380,L03,SCAN|LECTURE,actionlint|zizmor|matrice-gates,
.github/workflows/sonarcloud.yml,0f9edaa678a75b72f0dcc317416872d75f82c13b,L03,SCAN|LECTURE,actionlint|zizmor|matrice-gates,
.gitignore,7dba88d0c7be7292fed79f1b56beb8069a1ac098,L18,SCAN|LECTURE,revue-manuelle,
.pre-commit-config.yaml,5c3c5ecfff0c717b60f602379efaa00171f7205f,L18,SCAN,yamllint,
.proof,b726f78d7b85e7e338f3dbf1b7fea44398be6756,L15,LECTURE,reconciliation-affirmations,
