REVIEWS-SEALED GATE (déviation D9)
  OK    B-09-civ : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'meituan']
  OK    B-12-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    BC-models-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    D9-gate-civ : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'meituan']
  OK    D4-sentinelle-civ : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'meituan']
  OK    B-01-civ : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'meituan']
  OK    B-20-civ : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'meituan']
  OK    polish-civ : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'meituan']
  OK    b03-civ : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'xai']
  OK    b16-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'xiaomi']
  OK    b26-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b17-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    wh-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b18-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b19-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b05-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b06-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b07-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'xiaomi']
  OK    b13-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b14-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b04-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b15-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    b21-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    IMPL-1-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    IMPL-2-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    IMPL-2b-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    IMPL-3-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    B-02a-civ : APPROVE 3/3 APPROVE vendors ['google', 'xai', 'zhipu']
  OK    B-02b-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'zhipu']
  OK    IMPL-4-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'zhipu']
  OK    B-02c-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    B-02d-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    B-02e-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    B-02f-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
